,pressure_bar,feed_flow_m3_h,salinity_g_L,temperature_C,recovery_rate_target,pump_efficiency,erd_efficiency,membrane_condition,SEC_real,SEC_pred
1116,0.8324831994640596,-0.1380012544504572,-0.372107192794563,0.6742532312376374,-0.3034871396927891,0.0925017643082085,0.0373859728504752,0.3832053234172927,3.93002579052418,3.8368042837268828
1368,0.6655680885880282,0.2649538757270815,-0.0908667600339461,-0.1315299316221814,0.0217005174125756,0.3362286973635631,-1.2997503615741957,0.2739111523850067,3.601678349968187,3.791305904176894
422,-1.5523936441119848,1.4563696245600328,-1.344000980735418,0.0834357799889669,0.9573883563277488,-1.5949452690812866,-0.6435119409688596,-0.9997919823652016,3.655238931744744,3.3866226925701683
413,-1.398269579237801,-1.5772598992628648,0.7358359767025459,0.4153184808940247,1.025291199798438,-1.5887625608773426,-0.3958527472162425,-0.2806958865056491,3.414972299509047,3.4414054254379853
451,-0.9804864611271172,-0.645322755342659,-1.4952688062211226,-0.6179404202373775,-1.66613657118934,-0.0669340027155541,-1.5557994149644343,1.535075472934063,4.075723658739063,4.049475497371933
861,0.4856996614751774,-0.2473464412087267,1.721899481978179,1.4885478516001711,-1.7126718479600365,-0.1430061516890828,-1.4852711216340535,-0.014995319063485,4.575854166243293,4.585364111051181
1063,-0.7958064636261513,0.9633637912736536,-1.3930375645327997,0.0386115512239014,-0.5215798684074483,1.4101212492627753,0.6894680446181226,1.2603705698510226,3.049103057200573,3.0202972540308015
741,1.1940460219405546,0.5964788394043502,1.7083343574003973,-0.7930886349111237,-0.378740002587171,-0.7790750342570333,-1.0498585421301017,1.165045142141655,4.336610458954364,4.406788161204779
1272,1.3715123784769696,1.34271501506226,0.6825307268824099,0.1918432126295904,0.6272949905582668,-1.5867414152060464,-1.2964385336590554,0.2539369168331519,4.587879220668931,4.380354817890884
259,-0.8474274367999302,1.5645778429451065,0.7359470373341291,-1.4124509805454877,1.5812115373366282,-0.3354724042196205,-0.7745669301544066,-0.3850809632515172,2.9976081755826445,3.129436520954951
888,1.632733658797631,1.648773688474097,0.846292141475771,-0.1464936554768098,1.707532206199439,-0.7497530619989301,-1.215119918595779,-0.0761004876445138,3.784119304463663,3.8506817353327114
1432,-1.4202159621264168,-1.4214628869416115,0.8118083201866235,-1.148289978287206,-1.38078720913125,0.7008672210860274,-0.5489358486284175,1.1409706648111946,3.5516474126566457,3.4641622053678574
712,0.3307771979432539,-0.1796384416649073,1.625322123589412,-0.066488083100682,1.3747237148473213,1.1325714307403545,-1.4963389752673015,-0.610928641095074,3.1517837163818623,3.190910769784408
1382,1.0095282739014664,0.9474354486330006,-1.2569507979263923,1.2190704889204709,-1.7172157138986417,-0.190628442921781,-0.0286732810362441,0.6960894029232928,4.5461522685570666,4.510375763498521
70,-0.3715044102048818,0.5083258559758211,1.2951568669700926,-1.519581755168464,0.8332416208119504,-0.1825519951153264,1.3795499825050022,-0.1686955299346177,3.273388370175289,3.2022175181127084
1268,1.2024181429433674,0.1652936805889921,0.6899154095081667,0.7978997999220172,-1.1538604953895724,-0.6559337311461492,-1.2712281373193657,0.4523456204780856,4.503865105056874,4.738366484890169
1491,-0.7553652308915904,1.1632724834997716,0.2989523649106061,-0.0195450364835267,-0.7908752234756243,-0.056756063097657,-0.228410666225647,-0.0279639704250123,3.574298026407756,3.637641357290323
607,-1.2970694657468798,-0.642812747985339,-0.406385280129271,0.0169040149751549,1.481664720943028,-1.5025267566863376,0.78620244936159,0.9867776774919352,3.11935487696938,3.239614710584116
433,1.688436231178907,-1.2167982185052026,1.180894100544288,-1.5931116536369694,0.5540708659684083,-0.5020747478853462,-0.0336791141382303,-1.7389562535019207,4.159804217370674,3.9750713973153666
51,0.4711552406149107,1.518219945022091,-1.4001809541279902,1.3366506617265794,-1.328185569069246,-1.0931777417706143,-0.1175728864631093,-0.1634647136838602,4.633612478253824,4.537979604061466
1199,1.1352161483812675,-0.2617270262417114,-0.8205743087804568,0.9783575200668456,0.3608705984736081,0.3336760905265191,0.3871826996233125,-1.4024098570875287,3.492367205789595,3.5967317828223537
1128,-1.2684294320906948,-0.7053234368148406,0.8714416772337592,-0.1832705745573284,-1.185900439006635,-0.0592598406924276,0.5997568188836002,-0.8416414563797422,3.475844796824633,3.5292383905697746
1190,1.1929195560442527,0.714126883731272,-1.2765615929119123,1.2326712173031438,1.61084493132979,-0.1966706899439949,0.3309992281076586,-0.3186936279327185,3.436089353373102,3.4895470359679432
1249,-1.003092254759669,0.8761196107167539,1.1368438258912217,-0.1886875561417728,0.0211602581864854,-0.2011471959774927,1.16454504551372,-0.7958396315247216,3.296623424570784,3.2495010613159736
1419,1.5677624716069185,-0.9909112604616616,0.9566780582268531,0.3984171946434919,0.6523641365263281,1.6893673422222366,1.6713112609290774,0.7057383951477143,2.997489531137079,3.155149187218068
432,1.6098592796614466,0.2441704904912324,-1.4909764464721331,0.2543923791776588,-0.4608186372326758,1.0942403716996951,1.024827249820161,0.635794865714642,3.53503779839481,3.6441491417943195
1452,-0.0133397369265634,1.3675030370776335,-0.9945024976650938,0.2641979632981099,1.3659504900004666,0.1063683168883049,0.6992694777535425,-1.6257859358538524,3.2623777650206827,3.1407111712307247
1470,1.4247372176227342,-1.358000856415926,-1.0992550303850848,0.6013980051572113,-0.6442092086637791,-0.2588986646079128,0.1229951864325099,-0.7558003735066893,4.0295295598952805,4.226188120036506
1234,0.714004735396808,-1.6134001259267436,-0.2301603902748426,1.6135775345791834,1.562364993825173,1.4557853645150045,-1.093222819433027,1.4102836605390268,3.2930330418048905,3.114468057106091
1281,1.5850318440762046,0.1613006272320108,1.093265247771665,-0.9781510497288772,0.4113923336312519,-1.6821267523559913,1.2233619517386205,1.2476749422624591,4.442999228276399,4.276611684353297
1085,-1.1707495188176194,-1.6084650191359449,1.327214448971792,0.6277847869277899,-0.0335444059123445,1.0522053264078337,-0.5073857559926135,1.5269617027118214,3.2342101455047496,3.060935614982464
610,-0.770419068624431,0.0675959278121253,-0.5480006706400927,-1.665373905910274,-0.3951567303403149,0.1475182067093984,1.5755089660504038,-1.5250947905723686,3.3875523531670053,3.2501230566781114
1284,-0.1303030981664491,-0.225318451645816,-0.5665051805568075,1.0402637432514457,-0.6815738720114685,1.3668799741584543,1.2113215524058154,1.156057562155558,3.143615020060735,3.1614077595053267
1041,-0.2256343886238232,-0.1434402076620555,-0.3522294974802045,-1.1200912385801904,-0.7990112465271574,0.0499512685658753,0.1303488207005589,-0.7772034061708619,3.715964428286069,3.6959396667442763
